Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe Ville annexe	Téléphone annexe	Fax annexe	Type	Siren membre	Nom membre	Représentation-substitution	Compétence conservée	Population membre	Adhésion siren 	Adhésion nom 	Adhésion population 	C1004	C1010	C1015	C1020	C1025	C1030	C1502	C1505	C1507	C1510	C1515	C1520	C1525	C1528	C1529	C1530	C1531	C1532	C1533	C1534	C1535	C1540	C1545	C1550	C1555	C1560	C2005	C2010	C2015	C2510	C2515	C2520	C2521	C2525	C2526	C3005	C3010	C3015	C3020	C3025	C3210	C3220	C3505	C3510	C3515	C4005	C4006	C4007	C4008	C4010	C4015	C4016	C4017	C4020	C4025	C4505	C4510	C4515	C4520	C4525	C4530	C4531	C4532	C4535	C4540	C4545	C4550	C4555	C4560	C5005	C5010	C5015	C5210	C5220	C5505	C5510	C5515	C5520	C5525	C5530	C5535	C5540	C5545	C5550	C5555	C7005	C7010	C7012	C7015	C7020	C7025	C7030	C9905	C9910	C9915	C9920	C9922	C9923	C9924	C9925	C9930	C9935	C9940	C9950	C9999	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	2 - Clermont-Ferrand	216301135 - Clermont-Ferrand	246300701	Clermont Auvergne Métropole	METRO	0	0	1999-12-24	1999-12-24	ACCOR		21	301376	59	FPU	0	0	0	 	0	 	M.	Olivier	BIANCHI	Parvis	64 et 66 Avenue de l'Union Soviétique		63037 CLERMONT-FERRAND Cédex 1	    	    			Parvis	64 et 66 avenue de l'Union Soviétique	BP 231	63007 Clermont Ferrand  cedex 1	    	    	Commune	216300145	Aubière			10367	200048171	PETR Grand Clermont	439071	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	2 - Clermont-Ferrand	216301135 - Clermont-Ferrand	246300701	Clermont Auvergne Métropole	METRO	0	0	1999-12-24	1999-12-24	ACCOR		21	301376	59	FPU	0	0	0	 	0	 	M.	Olivier	BIANCHI	Parvis	64 et 66 Avenue de l'Union Soviétique		63037 CLERMONT-FERRAND Cédex 1	    	    			Parvis	64 et 66 avenue de l'Union Soviétique	BP 231	63007 Clermont Ferrand  cedex 1	    	    	Commune	216300194	Aulnat			4151	256300237	SM du Parc naturel régional des volcans d'Auvergne	565903	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	2 - Clermont-Ferrand	216301135 - Clermont-Ferrand	246300701	Clermont Auvergne Métropole	METRO	0	0	1999-12-24	1999-12-24	ACCOR		21	301376	59	FPU	0	0	0	 	0	 	M.	Olivier	BIANCHI	Parvis	64 et 66 Avenue de l'Union Soviétique		63037 CLERMONT-FERRAND Cédex 1	    	    			Parvis	64 et 66 avenue de l'Union Soviétique	BP 231	63007 Clermont Ferrand  cedex 1	    	    	Commune	216300327	Beaumont			10847	200074011	Syndicat intercommunal d'alimentation en eau potable de la plaine de Riom	36992	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	2 - Clermont-Ferrand	216301135 - Clermont-Ferrand	246300701	Clermont Auvergne Métropole	METRO	0	0	1999-12-24	1999-12-24	ACCOR		21	301376	59	FPU	0	0	0	 	0	 	M.	Olivier	BIANCHI	Parvis	64 et 66 Avenue de l'Union Soviétique		63037 CLERMONT-FERRAND Cédex 1	    	    			Parvis	64 et 66 avenue de l'Union Soviétique	BP 231	63007 Clermont Ferrand  cedex 1	    	    	Commune	216300426	Blanzat			3800	256302670	Syndicat pour la valorisation et le traitement des déchets ménagers et assimilés du Puy-de-Dôme et de la Haute Loire (VALTOM)	716134	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	2 - Clermont-Ferrand	216301135 - Clermont-Ferrand	246300701	Clermont Auvergne Métropole	METRO	0	0	1999-12-24	1999-12-24	ACCOR		21	301376	59	FPU	0	0	0	 	0	 	M.	Olivier	BIANCHI	Parvis	64 et 66 Avenue de l'Union Soviétique		63037 CLERMONT-FERRAND Cédex 1	    	    			Parvis	64 et 66 avenue de l'Union Soviétique	BP 231	63007 Clermont Ferrand  cedex 1	    	    	Commune	216300632	Cébazat			9043	200005312	SM de l'aéroport de Clermont-Ferrand / Auvergne	301376	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	2 - Clermont-Ferrand	216301135 - Clermont-Ferrand	246300701	Clermont Auvergne Métropole	METRO	0	0	1999-12-24	1999-12-24	ACCOR		21	301376	59	FPU	0	0	0	 	0	 	M.	Olivier	BIANCHI	Parvis	64 et 66 Avenue de l'Union Soviétique		63037 CLERMONT-FERRAND Cédex 1	    	    			Parvis	64 et 66 avenue de l'Union Soviétique	BP 231	63007 Clermont Ferrand  cedex 1	    	    	Commune	216300707	Ceyrat			6505	256300187	SM de l'Eau et de l'Assainissement de la Basse Limagne	96377	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	2 - Clermont-Ferrand	216301135 - Clermont-Ferrand	246300701	Clermont Auvergne Métropole	METRO	0	0	1999-12-24	1999-12-24	ACCOR		21	301376	59	FPU	0	0	0	 	0	 	M.	Olivier	BIANCHI	Parvis	64 et 66 Avenue de l'Union Soviétique		63037 CLERMONT-FERRAND Cédex 1	    	    			Parvis	64 et 66 avenue de l'Union Soviétique	BP 231	63007 Clermont Ferrand  cedex 1	    	    	Commune	216300756	Chamalières			17977	256300120	SM des transports en commun de l'agglomération clermontoise (SMTC)	306165	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	2 - Clermont-Ferrand	216301135 - Clermont-Ferrand	246300701	Clermont Auvergne Métropole	METRO	0	0	1999-12-24	1999-12-24	ACCOR		21	301376	59	FPU	0	0	0	 	0	 	M.	Olivier	BIANCHI	Parvis	64 et 66 Avenue de l'Union Soviétique		63037 CLERMONT-FERRAND Cédex 1	    	    			Parvis	64 et 66 avenue de l'Union Soviétique	BP 231	63007 Clermont Ferrand  cedex 1	    	    	Commune	216300996	Châteaugay			3146	200074029	SM de l'eau de la région d'Issoire et des communes de la banlieue sud clermontoise	117790	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	2 - Clermont-Ferrand	216301135 - Clermont-Ferrand	246300701	Clermont Auvergne Métropole	METRO	0	0	1999-12-24	1999-12-24	ACCOR		21	301376	59	FPU	0	0	0	 	0	 	M.	Olivier	BIANCHI	Parvis	64 et 66 Avenue de l'Union Soviétique		63037 CLERMONT-FERRAND Cédex 1	    	    			Parvis	64 et 66 avenue de l'Union Soviétique	BP 231	63007 Clermont Ferrand  cedex 1	    	    	Commune	216301135	Clermont-Ferrand			149830	200043842	SI d'assainissement de la région Est de Clermont-Ferrand (SIAREC)	51623	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	
84 - Auvergne-Rhône-Alpes	63 - Puy-de-Dôme	2 - Clermont-Ferrand	216301135 - Clermont-Ferrand	246300701	Clermont Auvergne Métropole	METRO	0	0	1999-12-24	1999-12-24	ACCOR		21	301376	59	FPU	0	0	0	 	0	 	M.	Olivier	BIANCHI	Parvis	64 et 66 Avenue de l'Union Soviétique		63037 CLERMONT-FERRAND Cédex 1	    	    			Parvis	64 et 66 avenue de l'Union Soviétique	BP 231	63007 Clermont Ferrand  cedex 1	    	    	Commune	216301242	Cournon-d'Auvergne			20549	200041036	SM pôle métropolitain Clermont-Vichy-Auvergne	651566	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	1	0	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	0	1	1	0	1	0	1	1	0	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	1	
