Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe Ville annexe	Téléphone annexe	Fax annexe	Type	Siren membre	Nom membre	Représentation-substitution	Compétence conservée	Population membre	Adhésion siren 	Adhésion nom 	Adhésion population 	C1004	C1010	C1015	C1020	C1025	C1030	C1502	C1505	C1507	C1510	C1515	C1520	C1525	C1528	C1529	C1530	C1531	C1532	C1533	C1534	C1535	C1540	C1545	C1550	C1555	C1560	C2005	C2010	C2015	C2510	C2515	C2520	C2521	C2525	C2526	C3005	C3010	C3015	C3020	C3025	C3210	C3220	C3505	C3510	C3515	C4005	C4006	C4007	C4008	C4010	C4015	C4016	C4017	C4020	C4025	C4505	C4510	C4515	C4520	C4525	C4530	C4531	C4532	C4535	C4540	C4545	C4550	C4555	C4560	C5005	C5010	C5015	C5210	C5220	C5505	C5510	C5515	C5520	C5525	C5530	C5535	C5540	C5545	C5550	C5555	C7005	C7010	C7012	C7015	C7020	C7025	C7030	C9905	C9910	C9915	C9920	C9922	C9923	C9924	C9925	C9930	C9935	C9940	C9950	C9999	
93 - Provence-Alpes-Côte d'Azur	83 - Var	2 - Toulon	218301372 - Toulon	248300543	Métropole Toulon-Provence-Méditerranée	METRO	0	0	2001-12-31	2002-01-01	RDC		12	453407	60	FPU	0	0	0	 	0	 	M.	Jean-Pierre	GIRAN	Hôtel de la Communauté d'Agglomération	107 Boulevard Henri Fabre	CS 30536	83041 TOULON CEDEX 9	04 94 93 83 00	04 94 93 83 23						 	    	04 94 93 83 23	Commune	218300341	Carqueiranne			9582	258302744	SM de l'énergie des communes du Var (SYMIELECVAR)	941887	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	83 - Var	2 - Toulon	218301372 - Toulon	248300543	Métropole Toulon-Provence-Méditerranée	METRO	0	0	2001-12-31	2002-01-01	RDC		12	453407	60	FPU	0	0	0	 	0	 	M.	Jean-Pierre	GIRAN	Hôtel de la Communauté d'Agglomération	107 Boulevard Henri Fabre	CS 30536	83041 TOULON CEDEX 9	04 94 93 83 00	04 94 93 83 23						 	    	04 94 93 83 23	Commune	218300697	Hyères			55990	258302843	SCOT Provence Méditerranée	598521	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	83 - Var	2 - Toulon	218301372 - Toulon	248300543	Métropole Toulon-Provence-Méditerranée	METRO	0	0	2001-12-31	2002-01-01	RDC		12	453407	60	FPU	0	0	0	 	0	 	M.	Jean-Pierre	GIRAN	Hôtel de la Communauté d'Agglomération	107 Boulevard Henri Fabre	CS 30536	83041 TOULON CEDEX 9	04 94 93 83 00	04 94 93 83 23						 	    	04 94 93 83 23	Commune	218300473	La Crau			19590	250601879	SM d'ingénierie pour les collectivités et territoires innovants des Alpes-Méditerranée (SICTIAM)	2085185	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	83 - Var	2 - Toulon	218301372 - Toulon	248300543	Métropole Toulon-Provence-Méditerranée	METRO	0	0	2001-12-31	2002-01-01	RDC		12	453407	60	FPU	0	0	0	 	0	 	M.	Jean-Pierre	GIRAN	Hôtel de la Communauté d'Agglomération	107 Boulevard Henri Fabre	CS 30536	83041 TOULON CEDEX 9	04 94 93 83 00	04 94 93 83 23						 	    	04 94 93 83 23	Commune	218300622	La Garde			26197	200088458	Syndicat de gestion de l'Eygoutier	341066	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	83 - Var	2 - Toulon	218301372 - Toulon	248300543	Métropole Toulon-Provence-Méditerranée	METRO	0	0	2001-12-31	2002-01-01	RDC		12	453407	60	FPU	0	0	0	 	0	 	M.	Jean-Pierre	GIRAN	Hôtel de la Communauté d'Agglomération	107 Boulevard Henri Fabre	CS 30536	83041 TOULON CEDEX 9	04 94 93 83 00	04 94 93 83 23						 	    	04 94 93 83 23	Commune	218301265	La Seyne-sur-Mer			63494	200079564	SM de la Reppe, du Grand Vallat et de ses affluents	113014	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	83 - Var	2 - Toulon	218301372 - Toulon	248300543	Métropole Toulon-Provence-Méditerranée	METRO	0	0	2001-12-31	2002-01-01	RDC		12	453407	60	FPU	0	0	0	 	0	 	M.	Jean-Pierre	GIRAN	Hôtel de la Communauté d'Agglomération	107 Boulevard Henri Fabre	CS 30536	83041 TOULON CEDEX 9	04 94 93 83 00	04 94 93 83 23						 	    	04 94 93 83 23	Commune	218301448	La Valette-du-Var			24200	258300953	SM de transport et de traitement des ordures ménagères de l'aire toulonnaise (SITTOMAT)	656852	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	83 - Var	2 - Toulon	218301372 - Toulon	248300543	Métropole Toulon-Provence-Méditerranée	METRO	0	0	2001-12-31	2002-01-01	RDC		12	453407	60	FPU	0	0	0	 	0	 	M.	Jean-Pierre	GIRAN	Hôtel de la Communauté d'Agglomération	107 Boulevard Henri Fabre	CS 30536	83041 TOULON CEDEX 9	04 94 93 83 00	04 94 93 83 23						 	    	04 94 93 83 23	Commune	218300986	Le Pradet			10907	200100006	SI d'alimentation en eau des communes de l'Est de Toulon	123301	1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	83 - Var	2 - Toulon	218301372 - Toulon	248300543	Métropole Toulon-Provence-Méditerranée	METRO	0	0	2001-12-31	2002-01-01	RDC		12	453407	60	FPU	0	0	0	 	0	 	M.	Jean-Pierre	GIRAN	Hôtel de la Communauté d'Agglomération	107 Boulevard Henri Fabre	CS 30536	83041 TOULON CEDEX 9	04 94 93 83 00	04 94 93 83 23						 	    	04 94 93 83 23	Commune	218301034	Le Revest-les-Eaux			4063				1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	83 - Var	2 - Toulon	218301372 - Toulon	248300543	Métropole Toulon-Provence-Méditerranée	METRO	0	0	2001-12-31	2002-01-01	RDC		12	453407	60	FPU	0	0	0	 	0	 	M.	Jean-Pierre	GIRAN	Hôtel de la Communauté d'Agglomération	107 Boulevard Henri Fabre	CS 30536	83041 TOULON CEDEX 9	04 94 93 83 00	04 94 93 83 23						 	    	04 94 93 83 23	Commune	218300903	Ollioules			14278				1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	83 - Var	2 - Toulon	218301372 - Toulon	248300543	Métropole Toulon-Provence-Méditerranée	METRO	0	0	2001-12-31	2002-01-01	RDC		12	453407	60	FPU	0	0	0	 	0	 	M.	Jean-Pierre	GIRAN	Hôtel de la Communauté d'Agglomération	107 Boulevard Henri Fabre	CS 30536	83041 TOULON CEDEX 9	04 94 93 83 00	04 94 93 83 23						 	    	04 94 93 83 23	Commune	218301539	Saint-Mandrier-sur-Mer			6146				1	0	0	1	1	0	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	0	1	1	0	1	1	1	1	0	1	1	1	0	1	1	1	1	1	1	0	1	0	1	0	1	1	1	0	0	0	0	1	1	0	1	1	1	0	0	0	
