Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe Ville annexe	Téléphone annexe	Fax annexe	Type	Siren membre	Nom membre	Représentation-substitution	Compétence conservée	Population membre	Adhésion siren 	Adhésion nom 	Adhésion population 	C1004	C1010	C1015	C1020	C1025	C1030	C1502	C1505	C1507	C1510	C1515	C1520	C1525	C1528	C1529	C1530	C1531	C1532	C1533	C1534	C1535	C1540	C1545	C1550	C1555	C1560	C2005	C2010	C2015	C2510	C2515	C2520	C2521	C2525	C2526	C3005	C3010	C3015	C3020	C3025	C3210	C3220	C3505	C3510	C3515	C4005	C4006	C4007	C4008	C4010	C4015	C4016	C4017	C4020	C4025	C4505	C4510	C4515	C4520	C4525	C4530	C4531	C4532	C4535	C4540	C4545	C4550	C4555	C4560	C5005	C5010	C5015	C5210	C5220	C5505	C5510	C5515	C5520	C5525	C5530	C5535	C5540	C5545	C5550	C5555	C7005	C7010	C7012	C7015	C7020	C7025	C7030	C9905	C9910	C9915	C9920	C9922	C9923	C9924	C9925	C9930	C9935	C9940	C9950	C9999	
93 - Provence-Alpes-Côte d'Azur	04 - Alpes-de-Haute-Provence	4 - Forcalquier	210401121 - Manosque	200034700	CA Durance-Lubéron-Verdon Agglomération	CA	0	1	2012-11-16	2013-01-01	RDC		25	64993	41	FPU	0	0	0		0		M.	Camille	GALTIER	Hôtel de Ville	Place de l'Hôtel de Ville		04100 Manosque	    	    						 	    	    	Commune	210400040	Allemagne-en-Provence			557	258402304	SM d'aménagement de la vallée de la Durance (SMAVD)	348805	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	04 - Alpes-de-Haute-Provence	4 - Forcalquier	210401121 - Manosque	200034700	CA Durance-Lubéron-Verdon Agglomération	CA	0	1	2012-11-16	2013-01-01	RDC		25	64993	41	FPU	0	0	0		0		M.	Camille	GALTIER	Hôtel de Ville	Place de l'Hôtel de Ville		04100 Manosque	    	    						 	    	    	Commune	210400354	Brunet			294	250401221	SM départemental d'élimination et de valorisation des ordures ménagères (SYDEVOM) des Alpes-de-Haute-Provence	186112	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	04 - Alpes-de-Haute-Provence	4 - Forcalquier	210401121 - Manosque	200034700	CA Durance-Lubéron-Verdon Agglomération	CA	0	1	2012-11-16	2013-01-01	RDC		25	64993	41	FPU	0	0	0		0		M.	Camille	GALTIER	Hôtel de Ville	Place de l'Hôtel de Ville		04100 Manosque	    	    						 	    	    	Commune	210400636	Corbières-en-Provence			1290	258402346	SM du parc naturel régional du Lubéron	212559	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	04 - Alpes-de-Haute-Provence	4 - Forcalquier	210401121 - Manosque	200034700	CA Durance-Lubéron-Verdon Agglomération	CA	0	1	2012-11-16	2013-01-01	RDC		25	64993	41	FPU	0	0	0		0		M.	Camille	GALTIER	Hôtel de Ville	Place de l'Hôtel de Ville		04100 Manosque	    	    						 	    	    	Commune	210400776	Entrevennes			173	200025070	SM de gestion du relais assistantes maternelles itinérant territorial "Leï Belugo"	88007	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	04 - Alpes-de-Haute-Provence	4 - Forcalquier	210401121 - Manosque	200034700	CA Durance-Lubéron-Verdon Agglomération	CA	0	1	2012-11-16	2013-01-01	RDC		25	64993	41	FPU	0	0	0		0		M.	Camille	GALTIER	Hôtel de Ville	Place de l'Hôtel de Ville		04100 Manosque	    	    						 	    	    	Commune	210400818	Esparron-de-Verdon			394	200048676	SM pour l'exploitation de la fourrière pour chiens et chats errants de Vallongues	103992	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	04 - Alpes-de-Haute-Provence	4 - Forcalquier	210401121 - Manosque	200034700	CA Durance-Lubéron-Verdon Agglomération	CA	0	1	2012-11-16	2013-01-01	RDC		25	64993	41	FPU	0	0	0		0		M.	Camille	GALTIER	Hôtel de Ville	Place de l'Hôtel de Ville		04100 Manosque	    	    						 	    	    	Commune	210400941	Gréoux-les-Bains			2976	250400819	SME du Largue et de l'Encrême	71431	0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	04 - Alpes-de-Haute-Provence	4 - Forcalquier	210401121 - Manosque	200034700	CA Durance-Lubéron-Verdon Agglomération	CA	0	1	2012-11-16	2013-01-01	RDC		25	64993	41	FPU	0	0	0		0		M.	Camille	GALTIER	Hôtel de Ville	Place de l'Hôtel de Ville		04100 Manosque	    	    						 	    	    	Commune	210400347	La Brillanne			1125				0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	04 - Alpes-de-Haute-Provence	4 - Forcalquier	210401121 - Manosque	200034700	CA Durance-Lubéron-Verdon Agglomération	CA	0	1	2012-11-16	2013-01-01	RDC		25	64993	41	FPU	0	0	0		0		M.	Camille	GALTIER	Hôtel de Ville	Place de l'Hôtel de Ville		04100 Manosque	    	    						 	    	    	Commune	210400412	Le Castellet			307				0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	04 - Alpes-de-Haute-Provence	4 - Forcalquier	210401121 - Manosque	200034700	CA Durance-Lubéron-Verdon Agglomération	CA	0	1	2012-11-16	2013-01-01	RDC		25	64993	41	FPU	0	0	0		0		M.	Camille	GALTIER	Hôtel de Ville	Place de l'Hôtel de Ville		04100 Manosque	    	    						 	    	    	Commune	210401121	Manosque			23572				0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
93 - Provence-Alpes-Côte d'Azur	04 - Alpes-de-Haute-Provence	4 - Forcalquier	210401121 - Manosque	200034700	CA Durance-Lubéron-Verdon Agglomération	CA	0	1	2012-11-16	2013-01-01	RDC		25	64993	41	FPU	0	0	0		0		M.	Camille	GALTIER	Hôtel de Ville	Place de l'Hôtel de Ville		04100 Manosque	    	    						 	    	    	Commune	210401246	Montagnac-Montpezat			415				0	0	0	0	1	1	1	1	1	1	0	1	1	1	1	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	0	1	1	1	1	0	0	0	0	0	1	0	1	0	1	1	0	1	1	1	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
