Région siège	Département siège	Arrondissement siège	Commune siège	N° SIREN	Nom du groupement	Nature juridique	Syndicat à la carte	Groupement interdépartemental	Date de création	Date d'effet	Mode de répartition des sièges	Autre mode de répartition des sièges	Nombre de membres	Population	Nombre de compétences exercées	Mode de financement	DGF Bonifiée	DSC	REOM	Autre redevance	TEOM	Autre taxe	Civilité Président	Prénom Président	Nom Président	Adresse du siège_1	Adresse du siège_2	Adresse du siège_3	Code postal du siège - Ville du siège	Téléphone du siège	Fax du siège	Courriel du siège	Site internet	Adresse annexe_1	Adresse annexe_2	Adresse annexe_3	Code postal annexe - Ville annexe	Téléphone annexe	Fax annexe
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218802627 - Laveline-devant-Bruyères	200039162	SI de Jussarupt avec Herpelmont, Laveline-devant-Bruyères (SIJAHL)	SIVU	0	0	2013-09-01	2013-09-01	MEMNB		3	1129	3	CBUDG	0	0	0		0		M.	Jean-Marc	CERVA	Mairie			88600 LAVELINE-devant-BRUYERES	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218801736 - Florémont	200042869	Syndicat des eaux du Haut du Mont	SIVU	0	0	2014-01-01	2014-01-01	MEMNB		24	3399	1	AUCUN	0	0	0		0		M.	Jean-Luc	THIERY	Station de Pompage	1 Route de Brantigny		88130 FLOREMONT	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218801603 - Épinal	200050748	Syndicat départemental d'électricité des Vosges	SIVU	0	0	2013-03-06	2013-03-06	POPUL		504	364086	1	AUCUN	0	0	0	redevances électricité	0		M.	Serge	RENAUX		28 Rue de la Clé d'Or	BP 142	88004 EPINAL Cedex	    	    						 	    	    	
44 - Grand Est	88 - Vosges	2 - Neufchâteau	218802700 - Liffol-le-Grand	200072577	SI des eaux de la Manoise	SIVU	0	1	2017-01-01	2017-01-01	POPUL		26	6726	1	CBUDG	0	0	0		0		M.	Cyril	VIDOT	Mairie de Liffol-le-Grand	27 Rue de l'Orme		88350 Liffol-le-Grand	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218803401 - Padoux	200074813	SIVOS Les Coquelicots	SIVU	0	0	2017-02-22	2017-02-22	AUTR		3	988	2	CBUDG	0	0	0		0		M.	Bruno	HUGUENIN	Mairie			88700 PADOUX	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218803674 - Rambervillers	200095651	SI scolaire "Les affluents de la Mortagne"	SIVU	0	0	2021-04-27	2021-04-29	POPUL		4	6165	1	CBUDG	0	0	0		0		M.	Jean-Pierre	MICHEL	Mairie de Rambervillers	1 Place du 30 Septembre		88700 Rambervillers	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218802619 - Laval-sur-Vologne	258800044	SI des sources de Stéaumont	SIVU	0	0	1958-08-08	1958-08-08	POPUL		5	1612	1	CBUDG	0	0	0		0		M.	Stéphane	PAUCHARD		300 Rue de la Mairie		88600 Laval-sur-Vologne	    	    						 	    	    	
44 - Grand Est	88 - Vosges	3 - Saint-Dié-des-Vosges	218804706 - Le Tholy	258800085	SI scolaire et sportif du secteur de Le Tholy	SIVU	0	0	1972-04-17	1972-04-17	POPUL		9	6121	4	CBUDG	0	0	0		0		M.	Anicet	JACQUEMIN	Mairie			88530 Le Tholy	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218804862 - Vagney	258800119	SI scolaire du secteur du Ban de Vagney	SIVU	0	0	1973-03-20	1973-03-20	POPUL		6	8486	2	CBUDG	0	0	0		0		M.	Michael	ROHR	Mairie			88120 Vagney	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218801884 - Fresse-sur-Moselle	258800127	SI des eaux de Presles	SIVU	0	0	1956-07-26	1956-07-26	POPUL		5	9151	1	CBUDG	0	0	0		0		M.	Daniel	COLLE	Mairie			88160 Fresse-sur-Moselle	    	    						 	    	    	
44 - Grand Est	88 - Vosges	1 - Épinal	218802015 - Girancourt	258800200	SI d'eau du Bolon	SIVU	0	0	2005-03-24	2005-03-24	POPUL		11	4364	1	CBUDG	0	0	0		0		M.	Patrick	RAMBAUT	Station 	2867 Rue de Xertigny		88390 Girancourt	    	    						 	    	    	
